sl_no,project_name,agency,project_code,legacy_ocms_code,pmgid,state,approval_start_date,original_target_doc,revised_doc,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
1,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,N04000073,,,,10-2013,9/2018,Jun-2023,417.23,707.73,698.80,100.00,2025-06,FR_JUNE_2025.pdf
2,LUDHIANA KILA RAIPUR (19 KMS) WITH FREIGHT LINE AT GILL STATION ON LDH-JHL SECTION,NR,N22000584,,,,3-2019,3/2025,Aug-2025,235.72,N.A.,59.78,55.00,2025-06,FR_JUNE_2025.pdf
3,MAJOR BRIDGE OVER MIDDLE STRAIT CREEK,NHIDCL,N24002207,,,,12-2024,2/2026,N.A.,371.80,207.99,0.00,5.23,2025-06,FR_JUNE_2025.pdf
4,PACKAGE-3A,NHIDCL,N24002208,,,,2-2018,9/2025,Mar-2024,207.54,154.01,16.21,39.27,2025-06,FR_JUNE_2025.pdf
5,PACKAGE-3B,NHIDCL,N24002209,,,,2-2018,11/2025,N.A.,183.47,N.A.,18.36,34.01,2025-06,FR_JUNE_2025.pdf
6,"2 LANE WITH HARD SHOLDER , REHABILITATION AND UP GRADATION OF SECTION FROM KM 242.0 TO KM 298.0 OF N",NHIDCL,N24000745,,,,3-2017,12/2019,Mar-2023,409.85,N.A.,214.23,95.23,2025-06,FR_JUNE_2025.pdf
7,REHABILITATION AND UP GRADATION OF SECTION FROM KM 206.00 TO KM 242.00 (NIMBUTALA TO AUSTIN CREEK) O,NHIDCL,N24000749,,,,3-2018,9/2020,Nov-2022,234.27,N.A.,126.50,83.00,2025-06,FR_JUNE_2025.pdf
8,Rehabilitation and up gradation to 2 lane with paved shoulder configuration from existing km. 122.00,MoRTH,N24000820,,,,11-2017,11/2019,N.A.,237.80,N.A.,222.13,98.23,2025-06,FR_JUNE_2025.pdf
9,RECONSTRUCTION WITH GEOMETRIC IMPROVEMENT OF EXISTING 2 LANE/INTERMEDIATE LANE TO 2LANE WITH PAVED S,MoRTH,N24000821,,,,11-2017,11/2019,N.A.,257.34,N.A.,214.90,100.00,2025-06,FR_JUNE_2025.pdf
10,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,AAI,N04000091,,,,4-2020,3/2023,Aug-2025,611.80,N.A.,449.66,75.25,2025-06,FR_JUNE_2025.pdf
11,RAJAHMUNDRY AIRPORT: CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUD,AAI,N04000103,,,,12-2022,8/2025,N.A.,347.15,347.15,76.86,46.00,2025-06,FR_JUNE_2025.pdf
12,KADAPPA AIRPORT- CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUDING MA,AAI,N04000106,,,,3-2023,1/2026,Mar-2026,265.91,265.91,39.54,29.00,2025-06,FR_JUNE_2025.pdf
13,CONSTRUCTION OF PERMANENT CAMPUS FOR INDIAN INSTITUTE OF TECHNOLOGY TIRUPATI AT MERLAPAKA VILLAGE YE,CPWD EDUCATION,N42000005,,,,2-2019,6/2020,N.A.,655.34,N.A.,366.21,95.00,2025-06,FR_JUNE_2025.pdf
14,"CONSTRUCTION OF PERMANENT CAMPUS FOR IISER AT JANGALAPALLI VILLAGE, YERPEDU MANDAL, CHITTOOR DISTRIC",CPWD EDUCATION,N42000007,,,,9-2019,9/2022,N.A.,588.72,656.39,630.55,100.00,2025-06,FR_JUNE_2025.pdf
15,KG-DWN-98-2 CLUSTER II DEVELOPMENT PROJECT,ONGC,N16000247,,,,3-2016,6/2020,Mar-2025,34012.00,N.A.,33167.16,96.40,2025-06,FR_JUNE_2025.pdf
16,HP CRUDE TO OLEFINS AND AROMATICS TECHNOLOGY DEMO UNIT AT VISAKH REFINERY,HPCL,N16000432,,,,9-2021,6/2024,Mar-2026,160.00,220.00,75.86,59.40,2025-06,FR_JUNE_2025.pdf
17,"CGD PROJECT AT KURNOOL, GUNTUR AND PRAKASAM DISTRICTS",IOCL,N16000485,,,,3-2022,3/2030,N.A.,1420.00,N.A.,153.86,6.20,2025-06,FR_JUNE_2025.pdf
18,MULTI-PRODUCT PIPELINE FROM KRISHNAPATNAM COASTAL INSTALLATION TO THE PROPOSED INSTALLATION AT HYDER,BPCL,N16000499,,,,9-2019,3/2025,N.A.,1932.00,N.A.,1498.21,94.30,2025-06,FR_JUNE_2025.pdf
19,HP TRIJET UNIT IN VR,HPCL,N16000535,,,,7-2024,7/2027,N.A.,193.00,N.A.,0.43,23.00,2025-06,FR_JUNE_2025.pdf
20,CONSTRUCTION OF AVIATION FUEL FARM FACILITIES AT BHOGAPURAM AIRPORT,HPCL,N16000538,,,,8-2024,3/2026,N.A.,240.00,N.A.,22.34,42.80,2025-06,FR_JUNE_2025.pdf
21,VISAKHA RAIPUR PIPELINE PROJECT,HPCL,N16000539,,,,9-2024,9/2027,N.A.,2212.00,N.A.,8.32,6.03,2025-06,FR_JUNE_2025.pdf
22,TRANSMISSION SCHEME FOR SOLAR ENERGY ZONE IN ANANTHPURAM (2500MW) AND KURNOOL (1000MW),PGCIL,N18000380,,,,9-2023,3/2025,N.A.,1249.00,N.A.,761.69,67.50,2025-06,FR_JUNE_2025.pdf
23,AUGMENTATION OF 1500MVA 3RD 765/400KV TRANSFORMATION CAPACITY AT KURNOOL NEW SUBSTATION,PGCIL,N18000395,,,,5-2023,9/2025,N.A.,164.00,N.A.,60.00,33.00,2025-06,FR_JUNE_2025.pdf
24,TRANSMISSION SYSTEM FOR INTEGRATION OF KURNOOL-IV REZ PHASE-I (FOR 4.5 GW),PGCIL,N18000413,,,,3-2025,3/2027,N.A.,5000.00,N.A.,20.00,,2025-06,FR_JUNE_2025.pdf
25,TRANSMISSION SYSTEM STRENGTHENING AT KURNOOL- III PS FOR INTEGRATION OF ADDITIONAL RE GENERATION PRO,PGCIL,N18000416,,,,3-2025,3/2027,N.A.,2886.00,N.A.,20.20,,2025-06,FR_JUNE_2025.pdf
26,KOTLPALLI-NARASAPUR (NL) (SCR),SCR,220100265,,,,12-2001,3/2028,N.A.,2500.98,N.A.,1141.44,18.00,2025-06,FR_JUNE_2025.pdf
27,NADIKUDE-SRI KALAHASTI,SCR,N22000286,,,,4-2011,5/2027,N.A.,2312.00,N.A.,1977.09,,2025-06,FR_JUNE_2025.pdf
28,GUNTUR-GUNTAKAL,SCR,N22000368,,,,4-2016,12/2025,N.A.,3733.37,N.A.,3606.85,,2025-06,FR_JUNE_2025.pdf
29,VIJAYAWADA-GUDUR,RVNL,N22000369,,,,4-2015,11/2024,N.A.,6654.00,N.A.,5883.89,,2025-06,FR_JUNE_2025.pdf
30,KOTTAVALSA - KORAPUT DOUBLING,ECOR,N22000377,,,,4-2015,3/2022,N.A.,2499.71,N.A.,1965.11,70.00,2025-06,FR_JUNE_2025.pdf
31,"PENUKONDA-DHARMAVARAM, EXCL. DHARMAVARAM (41.5 KM)",SWR,N22000555,,,,4-2019,3/2026,N.A.,294.67,307.66,213.03,60.00,2025-06,FR_JUNE_2025.pdf
32,MALUGUR-PALASAMUDRAM (17.98 KM) (PB#29/NR/2022-23),SWR,N22000556,,,,9-2022,12/2025,N.A.,323.14,342.41,46.89,12.00,2025-06,FR_JUNE_2025.pdf
33,DOUBLING BETWEEN GOOTY- PENDAKALLU (29.225),SCR,N22000585,,,,3-2023,3/2027,N.A.,351.83,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
34,VIJAYAWADA KAZIPET BYEPASS LINE,SCR,N22000586,,,,4-2016,12/2025,N.A.,647.37,N.A.,261.07,,2025-06,FR_JUNE_2025.pdf
35,RENIGUNTA WADI GOOTY - BYPASS,SCR,N22000587,,,,4-2016,12/2025,N.A.,302.00,N.A.,226.67,50.00,2025-06,FR_JUNE_2025.pdf
36,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH 365BG FROM RECHARLA VI,NHAI,N24001476,,,,9-2021,9/2022,Sep-2024,517.05,N.A.,543.03,94.50,2025-06,FR_JUNE_2025.pdf
37,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH-365BG (KHAMMAM-DEVARAP,NHAI,N24001477,,,,9-2021,9/2022,Sep-2024,622.00,N.A.,541.73,75.96,2025-06,FR_JUNE_2025.pdf
38,6L OF CHILKARARUPET BYPASS FROM KM. 357.400 TO KM. 371.920 OF NH-16,NHAI,N24001817,,,,2-2019,3/2023,Oct-2024,757.45,N.A.,711.37,99.61,2025-06,FR_JUNE_2025.pdf
39,6L OF PONDAVAKKAM TO KANNIGAIPAIR FROM KM 96.040 TO KM 116.100 OF NH 716B (PKG-IV),NHAI,N24001818,,,,2-2021,1/2025,N.A.,818.73,N.A.,564.03,25.32,2025-06,FR_JUNE_2025.pdf
40,6L OF VEERA KAVERI RAJA PURAM TO PONDAVAKKAM FROM KM 61.380 TO KM 96.040 OF NH 716B (PKG-III),NHAI,N24001819,,,,3-2021,1/2025,N.A.,1102.63,N.A.,1171.71,97.26,2025-06,FR_JUNE_2025.pdf
41,6L OF VARADHARAJULA TO KUMARAJAPET FROM KM 0.000 TO KM 43.800 OF NH-716B (PKG-I),NHAI,N24001820,,,,2-2021,12/2024,N.A.,1484.83,N.A.,1544.65,93.29,2025-06,FR_JUNE_2025.pdf
42,BANGALORE CHENNAI EXPRESSWAY (PHASE-II PKG-III) FROM KM.127.000 TO KM 156.000 (BANGARUPALEM TO GUDIP,NHAI,N24001821,,,,11-2020,10/2024,N.A.,1137.74,N.A.,1256.44,97.43,2025-06,FR_JUNE_2025.pdf
43,BANGALORE CHENNAI EXPRESSWAY (PHASE-II PKG-I) FROM KM.71.000 TO KM 96.000 (BETHAMANGALA IN THE STATE,NHAI,N24001822,,,,12-2020,10/2024,N.A.,1075.27,N.A.,1132.36,85.89,2025-06,FR_JUNE_2025.pdf
44,4L OF MADANAPALLE TO PILERU SECTION FROM KM 0.000 TO KM 55.900 OF NH-71(PACKAGE-I) - N/05060/01002/A,NHAI,N24001823,,,,1-2022,1/2025,Jan-2023,1852.12,N.A.,777.18,93.00,2025-06,FR_JUNE_2025.pdf
45,RENIGUNTA - POYYA - NAIDUPETA KM 124.60 TO KM 183.4 OF NH 71 - N/04027/06001/AP,NHAI,N24001824,,,,3-2020,1/2024,Dec-2024,1863.09,N.A.,1227.61,98.76,2025-06,FR_JUNE_2025.pdf
46,6L KANTAKAPALLE ? SABBAVARAM SECTION OF NH-130CD ROAD FROM KM 445.100 TO KM 464.662 (PKG-4),NHAI,N24001836,,,,2-2021,10/2024,N.A.,824.29,N.A.,521.51,76.13,2025-06,FR_JUNE_2025.pdf
47,6L JAKKUVA ? KORLAM SECTION OF NH-130CD ROAD FROM KM 396.800 TO KM 421.100 (PKG 2),NHAI,N24001837,,,,2-2021,3/2024,Jul-2024,663.60,N.A.,464.74,98.84,2025-06,FR_JUNE_2025.pdf
48,6L ALURU - JAKKUVA SECTION OF NH- 130CD ROAD FROM KM 365.033 TO KM 396.800 (PKG. 1),NHAI,N24001838,,,,2-2021,3/2024,N.A.,922.50,N.A.,534.51,84.38,2025-06,FR_JUNE_2025.pdf
49,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM KODUR 0.000 KMS TO VANAVOLU 24.300 KMS OF NH 544G PACKA,NHAI,N24001841,,,,12-2022,9/2025,N.A.,912.94,N.A.,238.84,59.65,2025-06,FR_JUNE_2025.pdf
50,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM VANAVOLU 24.300 KM. TO VANKARAKUNTA 45.700 KM. OF NH 5,NHAI,N24001842,,,,12-2022,11/2025,N.A.,750.81,N.A.,145.15,50.78,2025-06,FR_JUNE_2025.pdf
51,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM VANKARAKUNTA 45.700 KM. TO ODULAPALLE 72.000 KM. OF NH,NHAI,N24001843,,,,12-2022,11/2025,N.A.,992.89,N.A.,197.36,47.00,2025-06,FR_JUNE_2025.pdf
52,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM ODULAPALLE 72.000 KM. TO NALLACHERUVUPALLI 96.300 KM.,NHAI,N24001844,,,,12-2022,10/2025,N.A.,1058.90,N.A.,251.41,47.64,2025-06,FR_JUNE_2025.pdf
53,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM NALLACHERUVU PALLI 96.300 KM. TO YERRAGUDIPADU 129.000,NHAI,N24001845,,,,2-2023,10/2025,N.A.,1253.24,N.A.,197.29,23.20,2025-06,FR_JUNE_2025.pdf
54,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM YERRAGUDIPADU 129.000 KM. TO AUDIREDDIPALLE 160.000 KM.,NHAI,N24001846,,,,2-2023,10/2025,N.A.,1200.42,N.A.,98.82,8.90,2025-06,FR_JUNE_2025.pdf
55,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM AUDIREDDIPALLE 160.000 KM. TO MALLAPALLE 176.000 KM. PA,NHAI,N24001847,,,,1-2023,11/2025,N.A.,956.14,N.A.,215.17,43.11,2025-06,FR_JUNE_2025.pdf
56,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MALLAPALLE 176.000 KM. TO KAVULAKUNTLA 196.000 KM. PACK,NHAI,N24001848,,,,2-2023,10/2025,N.A.,909.02,N.A.,161.56,23.44,2025-06,FR_JUNE_2025.pdf
57,4L PS MYDUKUR BADVEL FROM KM 585.820 TO KM 630.960 SECTION OF NH 67,NHAI,N24001849,,,,5-2022,7/2025,N.A.,1063.72,N.A.,467.94,82.10,2025-06,FR_JUNE_2025.pdf
58,CONSTRUCTION OF 4-LANE HIGHWAY FROM SAMARLAKOTA TO ACHAMPETA JUNCTION (FROM KM. 0.000 TO KM. 12.250,NHAI,N24001856,,,,5-2023,8/2025,N.A.,648.75,N.A.,253.96,64.67,2025-06,FR_JUNE_2025.pdf
59,2L+PS FROM KM. 0+000 TO KM. 32+000 (MUDIGUBBA TO PUTTAPARTHI) OF NH- 342,MoRTH,N24001932,,,,3-2022,9/2024,N.A.,401.72,N.A.,190.74,80.00,2025-06,FR_JUNE_2025.pdf
60,NH440 RAYACHOTY TOVEMPALLI 2LPS,MoRTH,N24001934,,,,12-2021,5/2024,N.A.,439.82,N.A.,174.96,,2025-06,FR_JUNE_2025.pdf
61,4 LANE WITH PAVED SHOULDER FROM KM 0.000 TO KM 51.119 OF TADIPATRI TO MUDDANUR OF NH67,MoRTH,N24001935,,,,3-2022,8/2025,N.A.,724.17,N.A.,464.48,,2025-06,FR_JUNE_2025.pdf
62,NH165 FROM KM 0.000 TO KM 64.020 PAMARRU TO AKIVEEDU SECTION TO TWO LANE WITH PAVED SHOULDERS,MoRTH,N24001939,,,,3-2020,9/2023,N.A.,529.24,N.A.,353.88,62.70,2025-06,FR_JUNE_2025.pdf
63,2LPS FROM KM36.400 TO KM. 107.224 OF NH167BG FROM DUTTALUR TO KAVALI SECTION,MoRTH,N24001942,,,,3-2021,7/2024,N.A.,423.67,N.A.,222.39,83.59,2025-06,FR_JUNE_2025.pdf
64,NH167AD FROM MACHERLA TO DACHEPALLI FROM KM.0.000 TO 43.659 TO 2LPS,MoRTH,N24001951,,,,1-2022,1/2025,N.A.,403.22,N.A.,296.69,98.82,2025-06,FR_JUNE_2025.pdf
65,NH 167 B KADAPA NELLORE BORDER TO CSPURAM I.E. FROM KM 58.635 TO KM 99.409,MoRTH,N24001952,,,,3-2022,8/2025,N.A.,285.50,N.A.,204.29,95.00,2025-06,FR_JUNE_2025.pdf
66,NH-30-BHADRACHALAM TO KONTA SECTION 2LPS,MoRTH,N24001953,,,,12-2021,9/2024,N.A.,388.71,N.A.,242.09,89.60,2025-06,FR_JUNE_2025.pdf
67,WIDENING TO 2LPS OF RAMPACHODAVARAM - KOYYURU SECTION OF NH516E FROM KM.43.700 TO KM 113.820,MoRTH,N24001954,,,,3-2022,1/2025,N.A.,568.12,N.A.,350.64,91.05,2025-06,FR_JUNE_2025.pdf
68,GUDIWADA TOWN 2 LANE ROB AND ROAD IMPROVEMENT OF NH165 IN REPLACEMENT OF LC NO 3ESPL3 AT KM 231.700,MoRTH,N24001955,,,,3-2022,5/2025,N.A.,317.22,N.A.,190.90,80.00,2025-06,FR_JUNE_2025.pdf
69,2LPS FROM GONDIGUDA TO ARAKU BHALLAGUDA KM 27.480 TO KM 51.772 SECTION OF NH 516E,MoRTH,N24001956,,,,8-2020,9/2023,N.A.,296.66,N.A.,246.11,87.49,2025-06,FR_JUNE_2025.pdf
70,2LPS OF KOYYURU TO CHAPRATHIPALEM SECTION OF NH 516E,MoRTH,N24001957,,,,8-2020,7/2024,N.A.,349.29,N.A.,216.90,,2025-06,FR_JUNE_2025.pdf
71,2LPS OF CHAPRATHIPALEM TO LAMBASINGI SECTION OF NH 516E,MoRTH,N24001958,,,,8-2020,10/2024,N.A.,311.22,N.A.,151.24,72.00,2025-06,FR_JUNE_2025.pdf
72,4 LANE FROM KM 56.400 TO KM 120.300 FROM B.KOTHAPALLI JUNCTION TO GORANTLA OF NH 716G,MoRTH,N24001959,,,,3-2022,9/2025,N.A.,839.98,N.A.,418.51,,2025-06,FR_JUNE_2025.pdf
73,4L GREENFIELD ROAD CONNECTING NORTH AND SOUTH INDUSTRIAL CLUSTER OF KHANDALERU CREEK NEAR KRISHNAPAT,NHAI,N24001979,,,,8-2022,9/2025,N.A.,609.43,N.A.,25.24,56.70,2025-06,FR_JUNE_2025.pdf
74,4 LANING OF NH 544D FROM EXISTING KM 346.300 OF NH 44 (DESIGN CHAINAGE KM 0.000) TO KM 39.380 (DESIG,NHAI,N24001980,,,,10-2022,7/2025,N.A.,907.76,N.A.,388.70,84.29,2025-06,FR_JUNE_2025.pdf
75,CONSTRUCTION OF SIX LANING OF NAIDUPETA JUNCTION - TURPUKANUPUR SECTION FROM KM.57+046 TO KM.91+927,NHAI,N24001981,,,,7-2022,10/2025,N.A.,1398.84,N.A.,58.68,19.10,2025-06,FR_JUNE_2025.pdf
76,4L PS FROM KURNOOL (EXISTING KM. 5.400 OF NH-40/DESIGN KM.0.000) TO MANDLEM (EXISTING KM.38.000/DESI,NHAI,N24001982,,,,3-2023,10/2025,N.A.,827.39,N.A.,333.88,99.65,2025-06,FR_JUNE_2025.pdf
77,4 LANING FROM EXISTING KM 39.380 (DESIGN CH. 37.000) TO KM 74.450 (DESIGN CH. 69.000) OF MUCHUKOTA ?,NHAI,N24001983,,,,10-2022,8/2025,N.A.,972.63,N.A.,310.77,54.96,2025-06,FR_JUNE_2025.pdf
78,4L PS FROM MANDLEM (EXISTING KM. 38.000/DESIGN KM.30.600) TO ATMAKUR (EXISTING KM.73.000/DESIGN KM 6,NHAI,N24001984,,,,3-2023,10/2025,N.A.,887.28,N.A.,297.95,89.20,2025-06,FR_JUNE_2025.pdf
79,BANGALORE CHENNAI EXPRESSWAY (PHASE-II PKG-II) FROM KM.96.000 TO KM 127.000 (BAIREDDYPALLE TO BANGAR,NHAI,N24001985,,,,3-2021,6/2025,N.A.,1942.94,2171.00,1736.95,64.50,2025-06,FR_JUNE_2025.pdf
80,4L OF PILERU TO KALUR SECTION FROM KM 55.900 TO KM 92.800 AND KM 94.500 TO KM 95.717,NHAI,N24001986,,,,10-2023,4/2025,N.A.,1047.32,N.A.,301.20,93.00,2025-06,FR_JUNE_2025.pdf
81,"CONSTRUCTION OF 1 NOS ROB, 2 NOS VUPS, SERVICE ROADS, PROVISION OF LIGHTING AND CONSTRUCTION OF OTHE",NHAI,N24001987,,,,6-2023,12/2024,N.A.,152.05,N.A.,139.12,76.83,2025-06,FR_JUNE_2025.pdf
82,6L OF CHITTOOR TO THATCHUR FROM KUMARAJAPET TO VEERA KAVERI RAJA PURAM FROM KM 43.800 TO KM 61.380 O,NHAI,N24001988,,,,2-2021,10/2025,N.A.,591.99,703.00,506.67,70.95,2025-06,FR_JUNE_2025.pdf
83,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED HIGHWAY FROM CHILLAKURU CROSS ROAD TO TURPUKANUPUR KM 0+000,NHAI,N24002033,,,,7-2022,12/2025,N.A.,909.47,N.A.,97.03,32.30,2025-06,FR_JUNE_2025.pdf
84,COMPLETION OF BALANCE WORKS PENDING IN BIT AND PIECES (INCOMPLETE STRETCH AT 7 LOCATIONS) AND LISTED,NHAI,N24002103,,,,9-2022,1/2025,N.A.,166.52,N.A.,60.34,98.00,2025-06,FR_JUNE_2025.pdf
85,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM NARAYANMPET (CH. 203+500) TO CHANDRASEKHARPURAM (CH. 22,NHAI,N24002122,,,,2-2024,2/2026,N.A.,813.66,N.A.,91.93,24.20,2025-06,FR_JUNE_2025.pdf
86,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM CHANDRASEKHARAPURAM (CH. 228+000) TO POLAVARAM (CH. 260,NHAI,N24002123,,,,2-2024,2/2026,N.A.,1292.65,N.A.,135.27,18.96,2025-06,FR_JUNE_2025.pdf
87,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM POLAVARAM (CH. 260+000) TO MARRIPUDI (CH. 285+500) OF [,NHAI,N24002124,,,,2-2024,2/2026,N.A.,747.29,N.A.,142.65,32.02,2025-06,FR_JUNE_2025.pdf
88,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MARRIPUDI (CH. 285+500) TO SOMAVARAPPADU (CH. 314+600),NHAI,N24002125,,,,2-2024,2/2026,N.A.,976.40,N.A.,229.68,43.60,2025-06,FR_JUNE_2025.pdf
89,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM SOMAVARAPPADU (CH.314.600) TO MUPPAVARAM (CH.343+240) O,NHAI,N24002126,,,,2-2024,2/2026,N.A.,1103.89,N.A.,133.89,15.98,2025-06,FR_JUNE_2025.pdf
90,4-LANE WITH PAVED SHOULDERS FROM KM 32/0 TO KM 79/650 (DESIGN CHAINAGE KM 32+000 TO KM 78+760) PUTTA,MoRTH,N24002139,,,,3-2023,12/2025,N.A.,1318.57,N.A.,424.42,,2025-06,FR_JUNE_2025.pdf
91,SOMAYAJULAPALLI ? DHONE SECTION OF NH ? 340B FROM KM.0/0 TO 56/200 [DESIGN CH. KM 0/00 TO KM 53/33],MoRTH,N24002140,,,,4-2023,12/2025,N.A.,629.73,N.A.,369.43,,2025-06,FR_JUNE_2025.pdf
92,2-LANE WITH PAVED SHOULDER CONFIGURATION OF LAMBASINGI TO PADERU SECTION (KM 205+000 TO KM 253+974),MoRTH,N24002142,,,,8-2023,11/2025,N.A.,361.24,N.A.,63.54,,2025-06,FR_JUNE_2025.pdf
93,BYPASS ROAD TO ADONI TOWN CONNECTING NH-167 (HAGARI - JADCHARLA ROAD) FROM KM.62/700 TO 71/400 IN KU,MoRTH,N24002143,,,,8-2023,2/2026,N.A.,361.24,N.A.,109.65,56.00,2025-06,FR_JUNE_2025.pdf
94,VODAREVU-CHILAKALURIPET SECTION (DESIGN CHAINAGE 0+00 TO 47+000) OF NH-167A (PACKAGE-I),MoRTH,N24002144,,,,8-2023,2/2026,N.A.,1064.24,N.A.,584.25,,2025-06,FR_JUNE_2025.pdf
95,TADIPATRI BYPASS (KM 0+000 TO KM 6+285) OF 4-LANE ON NH-67 IN ANANTAPURAMU,MoRTH,N24002145,,,,11-2023,3/2026,N.A.,159.66,N.A.,60.51,63.50,2025-06,FR_JUNE_2025.pdf
96,KURNOOL/KADAPA BORDER- JAMMALAMADUGU SECTION OF NH- 167K I.E. DESIGN CH. KM 248+010 TO KM 269+900,MoRTH,N24002146,,,,11-2023,11/2025,N.A.,292.63,N.A.,81.57,,2025-06,FR_JUNE_2025.pdf
97,DORNALA TO KUNTA JUNCTION FROM DESIGN CHAINAGE KM 244+000 TO 267+990 SECTION OF NH-765 (PACKAGE-2),MoRTH,N24002147,,,,12-2022,1/2024,N.A.,244.83,N.A.,111.65,,2025-06,FR_JUNE_2025.pdf
98,PADERU BYPASS (KM 0+000 TO KM 13+000) OF 2- LANE WITH PAVED SHOULDER ON NH-516E,MoRTH,N24002148,,,,3-2023,3/2024,N.A.,244.43,N.A.,23.40,,2025-06,FR_JUNE_2025.pdf
99,DAVUALAPALLY TO MALLAPALEM SECTION {DESIGN CH. KM 133+922 TO KM 154+216 (EXISTING CH. KM 133+922 TO,MoRTH,N24002149,,,,1-2024,2/2024,N.A.,393.61,N.A.,135.13,,2025-06,FR_JUNE_2025.pdf
100,DEVELOPMENT OF SIX LANE ACCESS CONTROLLED GREEN FIELD HIGHWAY FROM KAVULAKUNTLA (KM.196+000) TO NARA,NHAI,N24002215,,,,2-2023,2/2027,N.A.,1092.18,N.A.,0.14,,2025-06,FR_JUNE_2025.pdf
101,ACCESS CONTROLLED HIGHWAY OF 4 LANE WITH PAVED SHOULDERS FROM TN/AP BORDER (DESIGN CHAINAGE KM 61+51,NHAI,N24002217,,,,12-2024,12/2026,N.A.,1346.82,N.A.,37.35,8.20,2025-06,FR_JUNE_2025.pdf
102,CONSTRUCTION OF SIX LANING OF DEDICATED PORT ROAD TO KRISHNAPATNAM PORT (PACKAGE-I) KM 0+000 TO KM 1,NHAI,N24000811,,,,3-2018,12/2020,Dec-2022,314.43,N.A.,85.61,71.49,2025-06,FR_JUNE_2025.pdf
103,REHABILITATION AND UPGRADATION OF EXISTING NH-167 FROM KM 14.900 TO KM 70.00 (DESIGN CH.14.900 TO 69,MoRTH,N24000931,,,,11-2016,5/2017,N.A.,290.15,N.A.,205.03,90.00,2025-06,FR_JUNE_2025.pdf
104,REHABILITATION AND UPGRADATION OF NEW NH-544DD FROM DESIGN CHAINAGE KM 56.00 TO 102.20 OF KALYANDURG,MoRTH,N24000937,,,,3-2018,8/2018,N.A.,289.67,290.00,256.60,98.50,2025-06,FR_JUNE_2025.pdf
105,CONSTRUCTION OF TIMMAPURAM TO GURJANAPALLE SECTION FROM KM 26.150 TO 41.161 OF NH- 214(NH216)(KAKINAD,MoRTH,N24000964,,,,8-2016,1/2017,N.A.,350.61,N.A.,390.28,98.20,2025-06,FR_JUNE_2025.pdf
106,CONSTRUCTION OF 2L+PS FROM PASARLAPUDI-DHINDI (105/700 TO 127.500 OF NH-214) OF NH-216,MoRTH,N24000969,,,,1-2017,9/2017,N.A.,263.45,N.A.,265.51,85.00,2025-06,FR_JUNE_2025.pdf
107,6-LANING OF VIJAYAWADA BYPASS FROM GOLLAPUDI (DESIGN CH. 30+000) TO CHINNAKAKANI (DESIGN CH. 47+881),NHAI,N24001301,,,,11-2019,1/2024,N.A.,1601.10,N.A.,1445.67,92.34,2025-06,FR_JUNE_2025.pdf
108,REHABILITATION AND UPGRADATION TO 2-LANE WITH PAVED SHOULDERS CONFIGURATION OF PADERU- GONDIGUDA SECT,MoRTH,N24001386,,,,8-2020,3/2021,N.A.,222.61,N.A.,183.91,95.00,2025-06,FR_JUNE_2025.pdf
109,POLAVARAM IRRIGATION PROJECT,PPA,N30000002,,,,2-2009,3/2020,Mar-2027,10151.04,N.A.,23775.68,76.00,2025-06,FR_JUNE_2025.pdf
110,CONSTRUCTION OF NEW GREEN FIELD AIRPORT AT HOLLONGI ITANAGAR ARUNACHAL PRADESH,AAI,N04000092,,,,2-2019,8/2022,Jul-2025,645.63,732.00,694.26,99.89,2025-06,FR_JUNE_2025.pdf
111,SUBANSIRI LOWER H.E.P (8X250 MW) (NHPC),NHPC,180100221,,,,9-2003,9/2010,N.A.,6285.33,N.A.,24484.77,96.60,2025-06,FR_JUNE_2025.pdf
