sl_no,project_name,agency,project_code,legacy_ocms_code,pmgid,state,approval_start_date,original_target_doc,revised_doc,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
813,DAMAN UPSIDE DEVELOPMENT PROJECT (DUDP) IN TAPTI DAMAN BLOCK,ONGC,N16000470,,,,6-2022,10/2025,N.A.,4144.41,6406.90,3203.26,80.50,2025-06,FR_JUNE_2025.pdf
814,"CGD PROJECT AT BEED, JALGAON AND JALNA DISTRICTS",IOCL,N16000487,,,,3-2022,3/2030,N.A.,865.00,N.A.,66.06,2.80,2025-06,FR_JUNE_2025.pdf
815,ANDHERI RESIDENTIAL TOWERS MUMBAI,IOCL,N16000503,,,,6-2017,5/2025,Jun-2026,281.35,389.67,218.84,50.80,2025-06,FR_JUNE_2025.pdf
816,CONSTRUCTION OF ADDITIONAL TANKAGES AND ALLIED FACILITIES AT JNPT TERMINAL,IOCL,N16000504,,,,4-2022,10/2024,Aug-2026,341.43,436.14,244.76,49.50,2025-06,FR_JUNE_2025.pdf
817,INSTALLATION OF INDEPENDENT DE- AROMATIZED SOLVENTS PRODUCTION FACILITIES AT MUMBAI REFINERY,BPCL,N16000507,,,,3-2023,7/2025,N.A.,405.00,N.A.,189.80,81.50,2025-06,FR_JUNE_2025.pdf
818,PART REPLACEMENT PIPELINE PROJECT (PRPP),ONGC,N16000515,,,,11-2022,5/2024,Dec-2024,1219.48,N.A.,1145.10,87.00,2025-06,FR_JUNE_2025.pdf
819,POL AND LOBS INSTALLATIONS WITH RECEIPT PIPELINES AT RASAYANI,BPCL,N16000519,,,,5-2023,5/2026,N.A.,2585.00,N.A.,525.74,56.50,2025-06,FR_JUNE_2025.pdf
820,MHN TCPP PGC BGC PROJECT (MTPBP),ONGC,N16000526,,,,2-2024,5/2026,N.A.,2329.45,N.A.,672.00,45.90,2025-06,FR_JUNE_2025.pdf
821,PRP-VIII GROUP B (NH AND BS ASSET),ONGC,N16000533,,,,6-2024,5/2026,N.A.,2379.84,N.A.,1646.11,57.80,2025-06,FR_JUNE_2025.pdf
822,HP TDAE UNIT IN MUMBAI REFINERY,HPCL,N16000534,,,,6-2024,4/2026,N.A.,240.00,N.A.,27.90,33.60,2025-06,FR_JUNE_2025.pdf
823,INTEGRATED DEVELOPMENT OF 4 CONTRACT AREAS UNDER DSF2,ONGC,N16000537,,,,5-2023,4/2027,N.A.,6183.79,N.A.,0.00,12.60,2025-06,FR_JUNE_2025.pdf
824,LUBE MODERNIZATION AND BOTTOM UPGRADATION PROJECT,HPCL,N16000540,,,,12-2024,3/2028,N.A.,4679.00,N.A.,177.41,4.20,2025-06,FR_JUNE_2025.pdf
825,BIKANER SOLAR POWER PROJECT,SJVN,N18000335,,,,4-2022,5/2024,N.A.,5491.89,532.00,4374.00,80.35,2025-06,FR_JUNE_2025.pdf
826,TS FOR EVACUATION OF 7GW RE INJECTION AT KHAVDA PS UNDER PHASE-IV PART E4,PGCIL,N18000377,,,,11-2023,7/2025,N.A.,224.00,N.A.,15.68,7.00,2025-06,FR_JUNE_2025.pdf
827,AHMEDNAGAR-PARLI VAIJNATH(NL) CR,CR,220100181,,,,2-1997,3/2026,N.A.,2539.00,N.A.,4909.30,97.00,2025-06,FR_JUNE_2025.pdf
828,MUMBAI URBAN TRANSPORT PROJECT PHASE-II,MRTP,N22000092,,,,4-2008,3/2014,N.A.,8087.11,N.A.,7349.29,,2025-06,FR_JUNE_2025.pdf
829,WARDHA-NANDED MAHARASHTRA,CR,N22000231,,,,4-2008,3/2027,N.A.,3445.48,N.A.,3156.47,47.00,2025-06,FR_JUNE_2025.pdf
830,KALYAN-KASARA 3RD LINE,CR,N22000233,,,,4-2011,12/2025,N.A.,792.89,N.A.,882.04,50.00,2025-06,FR_JUNE_2025.pdf
831,WARDHA-SEWAGRAM NGP 3RD LINE,CR,N22000250,,,,4-2012,12/2025,N.A.,540.02,N.A.,737.54,80.00,2025-06,FR_JUNE_2025.pdf
832,WARDHA-BALHARSHAH - 3RD LINE (132 KM),CR,N22000356,,,,2-2015,12/2025,N.A.,1384.72,N.A.,1590.45,67.00,2025-06,FR_JUNE_2025.pdf
833,ITARSI-NAGPUR (BAL.) - 3RD LINE (267 KM),CR,N22000358,,,,2-2015,3/2027,N.A.,2449.91,N.A.,1761.99,50.00,2025-06,FR_JUNE_2025.pdf
834,PUNE-MIRAJ-LONDA (467 KM),CR,N22000359,,,,2-2015,2/2025,N.A.,3627.47,3627.00,4742.07,84.00,2025-06,FR_JUNE_2025.pdf
835,DAUND - MANMAD (236 KM),CR,N22000360,,,,2-2016,12/2025,N.A.,2081.27,N.A.,2768.50,88.00,2025-06,FR_JUNE_2025.pdf
836,MANMAD - JALGAON - 3RD LINE (160 KM),CR,N22000361,,,,2-2016,12/2024,N.A.,1035.16,N.A.,1692.15,97.00,2025-06,FR_JUNE_2025.pdf
837,WARDHA - NAGPUR - 4TH LINE (76 KM),CR,N22000362,,,,2-2016,12/2025,N.A.,638.00,N.A.,968.65,80.00,2025-06,FR_JUNE_2025.pdf
838,RAJNANDGAON - NAGPUR - 3RD LINE (SECR),SECR,N22000420,,,,9-2016,12/2024,N.A.,3544.92,N.A.,3081.12,95.00,2025-06,FR_JUNE_2025.pdf
839,MUMBAI CENTRAL VIRAR VADODARA AHMEDABAAD TRAIN PROTECTION SYSTEM 500 RKM,WR,N22000434,,,,3-2010,10/2024,N.A.,311.00,N.A.,0.00,,2025-06,FR_JUNE_2025.pdf
840,WADSA-GADHCHIROLI NEW LINE (52.36 KM),SECR,N22000480,,,,6-2018,3/2027,N.A.,1886.05,N.A.,807.87,25.00,2025-06,FR_JUNE_2025.pdf
841,PACHORA-JAMNER WITH EXTENSION UPTO MALKAPUR NG TO BG,CR,N22000511,,,,8-2022,8/2027,N.A.,955.00,N.A.,117.54,,2025-06,FR_JUNE_2025.pdf
842,SOLAPUR-TULJAPUR-OSMANABAD (UMBRELLA WORK),CR,N22000513,,,,1-2019,3/2028,N.A.,904.92,N.A.,1150.11,10.00,2025-06,FR_JUNE_2025.pdf
