sl_no,project_name,agency,project_code,legacy_ocms_code,pmgid,state,approval_start_date,original_target_doc,revised_doc,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
820,"16 ₹ 25,52,632 ₹ 30,83,532 ₹ 16,11,188 (52.25% of Revised Cost) Ongoing Projects Expenditure Line Ministries & Departments (crores) (crores) (crores) 6 30 Commissioned during month Newly Added during month Sectoral Comparison : Major Sectors* Ministry Comparison : Major Ministries* [Outer Ring : Original Cost in ₹ lakh crore] & [Inner Ring : Project Count] [Outer Ring : Original Cost in ₹ lakh crore] & [Inner Ring : Project Count] Note: * as per Project Count Note: all indicated legends are in format (Project count, Original Cost in crores) Project Assessment, Infrastructure Monitoring and Analytics for Nation-building For details visit: https://www.ipm.mospi.gov.in/ Page 3 (PAIMANA) Flash Report OCTOBER 2025 Central Sector Infrastructure Projects Costing Rs. 150 crore & above",Original Cost Revised Cost,,,,,,,,,,,,2025-10,FlashReport_October_2025.pdf
820,"16 ₹ 25,52,632 ₹ 30,83,532 ₹ 16,11,188 (52.25% of Revised Cost) Ongoing Projects Expenditure Line Ministries & Departments (crores) (crores) (crores) 6 30 Commissioned during month Newly Added during month Sectoral Comparison : Major Sectors* Ministry Comparison : Major Ministries* [Outer Ring : Original Cost in ₹ lakh crore] & [Inner Ring : Project Count] [Outer Ring : Original Cost in ₹ lakh crore] & [Inner Ring : Project Count] Note: * as per Project Count Note: all indicated legends are in format (Project count, Original Cost in crores) Project Assessment, Infrastructure Monitoring and Analytics for Nation-building For details visit: https://www.ipm.mospi.gov.in/ Page 3 (PAIMANA)",Original Cost Revised Cost,,,,,,,,,,,,2025-10,FlashReport_October_2025.pdf
