sl_no,project_code,legacy_ocms_code,pmgid,project_name,state,implementing_agency,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
1,N04000073,,,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",,AAI,2013-10,2018-09,2023-06,417.23,707.73,698.80,100.00,2025-06,FR_JUNE_2025.pdf
2,N22000584,,,LUDHIANA KILA RAIPUR (19 KMS) WITH FREIGHT LINE AT GILL STATION ON LDH-JHL SECTION,,NR,2019-03,2025-03,2025-08,235.72,,59.78,55.00,2025-06,FR_JUNE_2025.pdf
3,N24002207,,,MAJOR BRIDGE OVER MIDDLE STRAIT CREEK,,NHIDCL,2024-12,2026-02,,371.80,207.99,0.00,5.23,2025-06,FR_JUNE_2025.pdf
4,N24002208,,,PACKAGE-3A,,NHIDCL,2018-02,2025-09,2024-03,207.54,154.01,16.21,39.27,2025-06,FR_JUNE_2025.pdf
5,N24002209,,,PACKAGE-3B,,NHIDCL,2018-02,2025-11,,183.47,,18.36,34.01,2025-06,FR_JUNE_2025.pdf
6,N24000745,,,"2 LANE WITH HARD SHOLDER , REHABILITATION AND UP GRADATION OF SECTION FROM KM 242.0 TO KM 298.0 OF N",,NHIDCL,2017-03,2019-12,2023-03,409.85,,214.23,95.23,2025-06,FR_JUNE_2025.pdf
7,N24000749,,,REHABILITATION AND UP GRADATION OF SECTION FROM KM 206.00 TO KM 242.00 (NIMBUTALA TO AUSTIN CREEK) O,,NHIDCL,2018-03,2020-09,2022-11,234.27,,126.50,83.00,2025-06,FR_JUNE_2025.pdf
8,N24000820,,,Rehabilitation and up gradation to 2 lane with paved shoulder configuration from existing km. 122.00,,MoRTH,2017-11,2019-11,,237.80,,222.13,98.23,2025-06,FR_JUNE_2025.pdf
9,N24000821,,,RECONSTRUCTION WITH GEOMETRIC IMPROVEMENT OF EXISTING 2 LANE/INTERMEDIATE LANE TO 2LANE WITH PAVED S,,MoRTH,2017-11,2019-11,,257.34,,214.90,100.00,2025-06,FR_JUNE_2025.pdf
10,N04000091,,,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,,AAI,2020-04,2023-03,2025-08,611.80,,449.66,75.25,2025-06,FR_JUNE_2025.pdf
11,N04000103,,,RAJAHMUNDRY AIRPORT: CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUD,,AAI,2022-12,2025-08,,347.15,347.15,76.86,46.00,2025-06,FR_JUNE_2025.pdf
12,N04000106,,,KADAPPA AIRPORT- CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUDING MA,,AAI,2023-03,2026-01,2026-03,265.91,265.91,39.54,29.00,2025-06,FR_JUNE_2025.pdf
13,N42000005,,,CONSTRUCTION OF PERMANENT CAMPUS FOR INDIAN INSTITUTE OF TECHNOLOGY TIRUPATI AT MERLAPAKA VILLAGE YE,,CPWD EDUCATION,2019-02,2020-06,,655.34,,366.21,95.00,2025-06,FR_JUNE_2025.pdf
14,N42000007,,,"CONSTRUCTION OF PERMANENT CAMPUS FOR IISER AT JANGALAPALLI VILLAGE, YERPEDU MANDAL, CHITTOOR DISTRIC",,CPWD EDUCATION,2019-09,2022-09,,588.72,656.39,630.55,100.00,2025-06,FR_JUNE_2025.pdf
15,N16000247,,,KG-DWN-98-2 CLUSTER II DEVELOPMENT PROJECT,,ONGC,2016-03,2020-06,2025-03,34012.00,,33167.16,96.40,2025-06,FR_JUNE_2025.pdf
16,N16000432,,,HP CRUDE TO OLEFINS AND AROMATICS TECHNOLOGY DEMO UNIT AT VISAKH REFINERY,,HPCL,2021-09,2024-06,2026-03,160.00,220.00,75.86,59.40,2025-06,FR_JUNE_2025.pdf
17,N16000485,,,"CGD PROJECT AT KURNOOL, GUNTUR AND PRAKASAM DISTRICTS",,IOCL,2022-03,2030-03,,1420.00,,153.86,6.20,2025-06,FR_JUNE_2025.pdf
18,N16000499,,,MULTI-PRODUCT PIPELINE FROM KRISHNAPATNAM COASTAL INSTALLATION TO THE PROPOSED INSTALLATION AT HYDER,,BPCL,2019-09,2025-03,,1932.00,,1498.21,94.30,2025-06,FR_JUNE_2025.pdf
19,N16000535,,,HP TRIJET UNIT IN VR,,HPCL,2024-07,2027-07,,193.00,,0.43,23.00,2025-06,FR_JUNE_2025.pdf
20,N16000538,,,CONSTRUCTION OF AVIATION FUEL FARM FACILITIES AT BHOGAPURAM AIRPORT,,HPCL,2024-08,2026-03,,240.00,,22.34,42.80,2025-06,FR_JUNE_2025.pdf
21,N16000539,,,VISAKHA RAIPUR PIPELINE PROJECT,,HPCL,2024-09,2027-09,,2212.00,,8.32,6.03,2025-06,FR_JUNE_2025.pdf
22,N18000380,,,TRANSMISSION SCHEME FOR SOLAR ENERGY ZONE IN ANANTHPURAM (2500MW) AND KURNOOL (1000MW),,PGCIL,2023-09,2025-03,,1249.00,,761.69,67.50,2025-06,FR_JUNE_2025.pdf
23,N18000395,,,AUGMENTATION OF 1500MVA 3RD 765/400KV TRANSFORMATION CAPACITY AT KURNOOL NEW SUBSTATION,,PGCIL,2023-05,2025-09,,164.00,,60.00,33.00,2025-06,FR_JUNE_2025.pdf
24,N18000413,,,TRANSMISSION SYSTEM FOR INTEGRATION OF KURNOOL-IV REZ PHASE-I (FOR 4.5 GW),,PGCIL,2025-03,2027-03,,5000.00,,20.00,,2025-06,FR_JUNE_2025.pdf
25,N18000416,,,TRANSMISSION SYSTEM STRENGTHENING AT KURNOOL- III PS FOR INTEGRATION OF ADDITIONAL RE GENERATION PRO,,PGCIL,2025-03,2027-03,,2886.00,,20.20,,2025-06,FR_JUNE_2025.pdf
26,220100265,,,KOTLPALLI-NARASAPUR (NL) (SCR),,SCR,2001-12,2028-03,,2500.98,,1141.44,18.00,2025-06,FR_JUNE_2025.pdf
27,N22000286,,,NADIKUDE-SRI KALAHASTI,,SCR,2011-04,2027-05,,2312.00,,1977.09,,2025-06,FR_JUNE_2025.pdf
28,N22000368,,,GUNTUR-GUNTAKAL,,SCR,2016-04,2025-12,,3733.37,,3606.85,,2025-06,FR_JUNE_2025.pdf
29,N22000369,,,VIJAYAWADA-GUDUR,,RVNL,2015-04,2024-11,,6654.00,,5883.89,,2025-06,FR_JUNE_2025.pdf
30,N22000377,,,KOTTAVALSA - KORAPUT DOUBLING,,ECOR,2015-04,2022-03,,2499.71,,1965.11,70.00,2025-06,FR_JUNE_2025.pdf
31,N22000555,,,"PENUKONDA-DHARMAVARAM, EXCL. DHARMAVARAM (41.5 KM)",,SWR,2019-04,2026-03,,294.67,307.66,213.03,60.00,2025-06,FR_JUNE_2025.pdf
32,N22000556,,,MALUGUR-PALASAMUDRAM (17.98 KM) (PB#29/NR/2022-23),,SWR,2022-09,2025-12,,323.14,342.41,46.89,12.00,2025-06,FR_JUNE_2025.pdf
33,N22000585,,,DOUBLING BETWEEN GOOTY- PENDAKALLU (29.225),,SCR,2023-03,2027-03,,351.83,,0.00,,2025-06,FR_JUNE_2025.pdf
34,N22000586,,,VIJAYAWADA KAZIPET BYEPASS LINE,,SCR,2016-04,2025-12,,647.37,,261.07,,2025-06,FR_JUNE_2025.pdf
35,N22000587,,,RENIGUNTA WADI GOOTY - BYPASS,,SCR,2016-04,2025-12,,302.00,,226.67,50.00,2025-06,FR_JUNE_2025.pdf
36,N24001476,,,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH 365BG FROM RECHARLA VI,,NHAI,2021-09,2022-09,2024-09,517.05,,543.03,94.50,2025-06,FR_JUNE_2025.pdf
37,N24001477,,,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH-365BG (KHAMMAM-DEVARAP,,NHAI,2021-09,2022-09,2024-09,622.00,,541.73,75.96,2025-06,FR_JUNE_2025.pdf
38,N24001817,,,6L OF CHILKARARUPET BYPASS FROM KM. 357.400 TO KM. 371.920 OF NH-16,,NHAI,2019-02,2023-03,2024-10,757.45,,711.37,99.61,2025-06,FR_JUNE_2025.pdf
39,N24001818,,,6L OF PONDAVAKKAM TO KANNIGAIPAIR FROM KM 96.040 TO KM 116.100 OF NH 716B (PKG-IV),,NHAI,2021-02,2025-01,,818.73,,564.03,25.32,2025-06,FR_JUNE_2025.pdf
