sl_no,project_code,legacy_ocms_code,pmgid,project_name,state,implementing_agency,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,reporting_period,source_filename
505,East Coast Railway [ECoR] - II,612827,,Flyover between Pendurthi and Simhachalam North to avoid surface crossing at,Andhra Pradesh,Simhachalam 7.135 km PB 73 of 2023 24 NR,2023-04,2027-04,,183.65,183.65,5.11,11,2025-10,FlashReport_October_2025.pdf
506,East Coast Railway [ECoR] - II,616697,,3rd & 4th line between Vadlapudi -Gate Jn. cabin and Tie line between Gate Junction,Andhra Pradesh,to Gangavaram port,2023-04,2026-06,,154.28,154.28,20.15,21,2025-10,FlashReport_October_2025.pdf
507,,,,Tiupati Katpadi 104.39 kms (South Central Railway [SCR] - II) (617210),Andhra Pradesh,,2025-04,2029-03,,1215.56,1215.56,0.1,0,2025-10,FlashReport_October_2025.pdf
508,,,,3rd Line between Gudur Renigunta 83.17 Km (South Central Railway [SCR] - II) (617216),Andhra Pradesh,,2024-10,2027-03,,877.34,877.34,23.35,0,2025-10,FlashReport_October_2025.pdf
509,,,,Kurnool Coach Midlife Rehabilitation Project (WPO/Patna) (705253),Andhra Pradesh,,2016-05,2020-12,,563,563,120,0,2025-10,FlashReport_October_2025.pdf
510,,,,Kotapalli - Narasapur New Line (South Central Railway [SCR] - II) (705436),Andhra Pradesh,,2009-03,2028-03,2028-03,2501,2501,1318.88,29,2025-10,FlashReport_October_2025.pdf
511,,,,Guntur-Guntakal Doubling Project (South Central Railway [SCR] - II) (705633),Andhra Pradesh,,2017-03,2025-12,2026-12,3733,4295,4475.84,93,2025-10,FlashReport_October_2025.pdf
512,,,,Vijaywada-Gudur 3rd Line (RVNL - II) (705648),Andhra Pradesh,,2016-08,2024-11,2025-12,6654,6654,5922,90,2025-10,FlashReport_October_2025.pdf
513,,,,Penukonda - Dharmavaram Doubling Project [41.5 Km] (South Western Railway [SWR] - II) (705789),Andhra Pradesh,,2018-06,2026-03,2026-03,307.66,307.66,259.52,65,2025-10,FlashReport_October_2025.pdf
514,,,,Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km (Northeast Frontier Railway [NFR]) (705572),Assam,,2016-09,2026-03,2026-03,4060,4961,3727.78,93,2025-10,FlashReport_October_2025.pdf
515,,,,Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh (Central Organisation for Railway Electrification [CORE]) (706922),Assam,,2020-09,2020-09,2024-06,890.36,889.36,391.73,89,2025-10,FlashReport_October_2025.pdf
516,,,,"Mariani-Jorhat, Tinsukia-Dangri and Makum -TirapTrack Electrification Project (GM/C/ NFR) (706940)",Assam,,2018-09,2024-05,,183.99,183.99,0,0,2025-10,FlashReport_October_2025.pdf
517,,,,Harmuty-Murkongselek Branch Line Electrification Project (GM/C/ NFR) (706942),Assam,,2018-09,2024-05,,237.52,237.52,0,0,2025-10,FlashReport_October_2025.pdf
518,,,,Sakri -Hasanpur [via Harnagar - Kusheshwar Asthan] New Railway line (East Central Railway [ECR] - I) (400254),Bihar,,2023-12,2024-12,2027-03,735.2,735.2,588.66,84,2025-10,FlashReport_October_2025.pdf
519,,,,Construction of Bulb line at Nabinagar Ankorah of East Central Railway (East Central Railway [ECR] - I) (617231),Bihar,,2024-06,2028-06,,611.74,611.74,0,0,2025-10,FlashReport_October_2025.pdf
520,,,,Jhajha-Batai New Line Project (East Central Railway [ECR] - I) (617373),Bihar,,2023-03,2027-03,,588.18,588.18,3.05,0,2025-10,FlashReport_October_2025.pdf
521,,,,Khagaria-Kusheshwar Asthan [42Km] new line project (East Central Railway [ECR] - I) (705364),Bihar,,2019-04,2024-12,2027-03,614,1384,487.99,55,2025-10,FlashReport_October_2025.pdf
